#separator:tab
#html:true
#tags column:47
arranjar-se	arranjar-se	arranjar-se	arreglarse	/a.ʁɐ̃.ˈʒaɾ-sɨ/	/ɐ.ʁɐ.ˈɲaʁ sɨ/	v pron	vestir-se bem	get ready	/ɡɛt ˈrɛdi/	/ɡɛt ˈrɛdi/	v			arreglarse			v				se préparer			v		sich bereit machen					arreglar-se					prepararsi										Português::Curso::A1 Português::Vocabulario::Pessoas::Tempo_livre Português::Vocabulario::Tipo_Palavra::Verbos
japonês, japonesa	japonês, japonesa	/ ʒɐ.pu.ˈneʃ   |    ʒɐ.pu.ˈne.zɐ /	/ ʒapoˈnes | ʒapoˈnezɐ /	adjm , adjf			Japanese	/ ˌdʒæpəˈniz /	/ ˌdʒæpəˈniːz /	adj, proper noun	*		japonés, japonesa	/xa.poˈnes/, /xa.poˈnesa/		adjm, adjf	*			japonais, japonaise		/ʒapɔnɛ/, /ʒapɔnɛz/	adjm, adjf	l’économie japonaise ne se porte pas si mal the Japanese economy is faring rather well																						Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
moçambicano, moçambicana	moçambicano, moçambicana	/ mu.sɐ̃.bi.ˈkɐ.nu   |    mu.sɐ̃.bi.ˈkɐ.nɐ /	/ mosɐ̃biˈkɐnu | mosɐ̃biˈkɐnɐ /	adjm, adjf			Mozambican	/ ˌmoʊzəmˈbikən /	/ ˌməʊzəmˈbiːkən /	adj, proper noun	*		mozambiqueño, mozambiqueña	"/moθam&#x27;bikeɲo/, /moθam&#x27;bikeɲa/"		adjm, adjf	*																													Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
norte-americano, norte-americana	norte-americano, norte-americana	/ ˈnoɾ.tɨ-ɐ.mɨ.ɾi.ˈkɐ.nu   |    ˈnoɾ.tɨ-ɐ.mɨ.ɾi.ˈkɐ.nɐ /	/ noʁteɐmeɾiˈkɐnu | noʁteɐmeɾiˈkɐnɐ /	adjm , adjf			American	/ əˈmɛrəkən /	/ əˈmerɪkən /	adj, proper noun	*		estadounidense, estadounidense	/estaðo.uniˈðense/, /estaðo.uniˈðense/		adj m/f	*			américain, américaine  ou états-unien, états-unienne		/ ameʀikɛ̃ /, / ameʀikɛn /  ou  / etatsynjɛ̃ /, / etatsynjɛn /																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
norueguês, norueguesa	norueguês, norueguesa	/ nu.ɾu.i.ˈgeʃ   |    nu.ɾu.i.ˈge.zɐ /	/ noɾueˈɡes | noɾueˈɡezɐ /	adjm , adjf			Norwegian	/ nɔrˈwidʒən /	/ nɔːˈwiːdʒən /	adj, proper noun	*		noruego, noruega	/noˈɾweɣo/, /noˈɾweɣa/		adjm, adjf	*			norvégien, norvégienne		/nɔʁveʒjɛ̃/, /nɔʁveʒjɛn/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
português, portuguesa	português, portuguesa	/ puɾ.tu.ˈgeʃ   |    puɾ.tu.ˈge.zɐ /	/ poʁtuˈɡes | poʁtuˈɡezɐ /	adjm, adjf			Portuguese	/ ˌpɔrtʃəˈɡiz /	/ ˌpɔːtʃəˈɡiːz /	adj, proper noun	*		portugués, portuguesa	"/poɾtu&#x27;ɣes/, /poɾtu&#x27;ɣesa/"		adjm, adjf	*			portugais, portugaise		/pɔʀtygɛ/, /pɔʀtygɛz/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
russo, russa	russo, russa	/ ˈʁu.su   |    ˈʁu.sɐ /	/ ˈʁusu | ˈʁusɐ /	adjm , adjf			Russian	/ ˈɹəʃən /	/ ˈrʌʃən /	adj, proper noun	*		ruso, rusa	/ˈru.so/, /ˈru.sa/		adjm, adjf	*			russe		/ʀys/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
são-tomense	são-tomense	/ ˈsɐ̃w-tu.ˈmẽ.sɨ /	/ ˈsɐ̃w̃tumẽsi /	adj			Sao Tomean	/ˌsaʊn təˈmeɪən/		adj, proper noun	*		santomeño, santomeña	"/san.to&#x27;meɲo/"		adjm, adjf	*			Santoméen, Santoméenne		/sɑ̃tɔmeɛ̃/, /sɑ̃tɔmeɛn/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
sueco, sueca	sueco, sueca	/ su.ˈe.ku   |    su.ˈe.kɐ /	/ suˈɛku | suˈɛkɐ /	adjm , adjf			Swedish	/ ˈswidɪʃ /	/ ˈswiːdɪʃ /	adj, proper noun	*		sueco, sueca	"/&#x27;sweko/, /&#x27;sweka/"		adjm, adjf	*			suédois, suédoise		/sɥedwa/, /sɥedwaz/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
timorense	timorense	/ ti.mu.ˈɾẽ.sɨ /	/ tʃimoˈɾẽsi /	adj			East Timorese	/ ˈist tiˌmɔˈɹiz /	/ ˈiːst ˌtiːmɔːˈriːz /	adj, proper noun	*		timorense	"/timu&#x27;ɾense/"		adj m/f	*			est-timorais, est-timoraise ou timorais, timoraise																										Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
penteio o meu cabelo	penteio o meu cabelo	penteio o meu cabelo	"<img src=""_pentear_o_cabelo_peinar_comb.JPG"">"	/pẽˈtɐju u ˈmew kɐˈbɛlu/	/pẽˈteju u ˈmew kaˈbɛlu/	exp		comb my hair	/ˈkoʊm ˈmaɪ ˈhɛr/	/ˈkəʊm maɪ ˈheə/				peino mi cabello, me peino	/me ˈpejno/	/me ˈpejno/				je me coiffe		/ʒə mə kwaf/			ich kämme mich					em pentine els cabells					pettino i miei capelli											Português::Curso::A1 Português::Vocabulario::Pessoas::Cuidado_Pessoal Português::Vocabulario::Pessoas::Cuidado_Pessoal::Cabelo
sócio	sócio	o sócio		/u ˈsɔsiu/	/u ˈsɔsiu/	sm		partner (m)	/ˈpɑrtnə˞/	/ˈpɑːtnə/				socio						associé					Partner					soci					socio											Português::Curso::A1 Português::Vocabulario::Pessoas Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
colega	colega	o/a colega		/ˈɔ kuˈlɛɡɐ/, /ˈɐ kuˈlɛɡɐ/	/ˈɔ koˈlɛɡɐ/, /ˈɐ koˈlɛɡɐ/	s m/f		colleague	/ˈkɑˌliɡ/	/ˈkɒliːɡ/				colega						collègue					Kollege					col·lega					collega											Português::Curso::A1 Português::Vocabulario::Pessoas Português::Vocabulario::Pessoas::Relações_entre_as_pessoas Português::Vocabulario::Trabalho
sócia	sócia	a sócia		/ɐ ˈsɔsiɐ/	/a ˈsɔsiɐ/	sf		partner (f)	/ˈpɑrtnə˞/	/ˈpɑːtnə/				socia						partenaire					Partner					associada					socia											Português::Curso::A1 Português::Vocabulario::Pessoas Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
amigo	amigo	o amigo		/u ɐˈmiɡu/	/u ɐˈmiɡu/	smf		friend (m)	/ˈfɹɛnd/	/ˈfrend/				amigo						ami					Freund					amic					amico											Português::Curso::A1 Português::Vocabulario::Pessoas Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
amiga	amiga	a amiga		/ɐ ɐˈmiɡɐ/	/a ɐˈmiɡɐ/	sf		friend (f)	/ˈfɹɛnd/	/ˈfrend/				amiga						amie					Freundin					amiga					amica											Português::Curso::A1 Português::Vocabulario::Pessoas Português::Vocabulario::Pessoas::Familia Português::Vocabulario::Pessoas::Relações_entre_as_pessoas
chefe	chefe	o chefe		/u ˈʃɛfɨ/	/u ˈʃɛfi/	smf		boss (m)	/ˈbɑs/	/ˈbɒs/				jefe						chef					Chef					cap					boss											Português::Curso::A1 Português::Vocabulario::Pessoas Português::Vocabulario::Pessoas::Relações_entre_as_pessoas Português::Vocabulario::Trabalho
chefa	chefa	a chefa		/ɐ ˈʃɛfɐ/	/a ˈʃɛfɐ/	sf		boss (f)	/ˈbɑs/	/ˈbɒs/				jefa						cheffe					Chefin					capessa					boss											Português::Curso::A1 Português::Vocabulario::Pessoas Português::Vocabulario::Pessoas::Relações_entre_as_pessoas Português::Vocabulario::Trabalho
funcionario	funcionario	o funcionario		/u fũsiunɐˈɾiu/	/u fũsionaˈɾiu/	sm		employee (m)	/ɪmˌplɔɪˈi/	/emˈplɔɪiː/				empleado																																Português::Curso::A1 Português::Vocabulario::Trabalho
funcionaria	funcionaria	a funcionaria		/ɐ fũsiunɐˈɾiɐ/	/a fũsionaˈɾiɐ/	sf		employee (f)	/ɪmˌplɔɪˈi/	/emˈplɔɪiː/				empleada																																Português::Curso::A1 Português::Vocabulario::Trabalho
cabeça	cabeça	a cabeça	"<img src=""_cabeça_judith.JPG"">"	/ɐ kɐˈbɛsɐ/	/a kaˈbɛsɐ/	sf		head						cabeza						tête					Kopf					cap					capo											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Partes_do_Corpo
orelha	orelha	a orelha	"<img src=""_en_ears.JPG"">"	/ɐ oˈɾɐʎɐ/	/a oˈɾeʎɐ/	sf		ear						oreja						oreille					Ohr					orella					orecchio											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
perna	perna	a perna	"<img src=""_pernas_piernas_legs.JPG"">"	/ɐ ˈpɛɾnɐ/	/a ˈpɛʁnɐ/	sf		leg						pierna						jambe					Bein					cama					gamba											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Pernas Português::Vocabulario::Pessoas::Corpo_Saude
costas	costas	as costas	"<img src=""_costas_espalda_back.JPG"">"	/ɐʃ ˈkɔʃtɐʃ/	/aʃ ˈkɔstas/	sfp		back						espalda						dos					Rücken					esquena					schiena											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
nariz	nariz	o nariz	"<img src=""_nariz.JPG"">"	/u nɐˈɾiʃ/	/u naˈɾiʃ/	sm		nose						nariz						nez					Nase					nas					naso											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Rostro Português::Vocabulario::Pessoas::Corpo_Saude
dentes	dentes	os dentes	"<img src=""_en_teeth.JPG"">"	/uʒ ˈdẽtɨʃ/	/uʒ ˈdẽtes/	smp		teeth						dientes						dents					Zähne					dents					denti											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
testa	testa	a testa	"<img src=""_testa_frente.JPG"">"	/ɐ ˈtɛʃtɐ/	/a ˈtɛstɐ/	sf		forehead						frente						front					Stirn					front					front											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
olhos	olhos	os olhos	"<img src=""Olhos_Verdes.jpg"">"	/uz ˈɔʎuʃ/	/uz ˈɔʎus/	smp		eyes						ojos						yeux					Augen					ulls					occhi											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Rostro Português::Vocabulario::Pessoas::Corpo_Saude
olho	olho	o olho	"<img src=""_amber_eye.jpg"">"	/u ˈɔʎu/	/u ˈɔʎu/	sm		eye						ojo						œil					Auge					ull					occhio											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Rostro Português::Vocabulario::Pessoas::Corpo_Saude
boca	boca	a boca		/ɐ ˈbɔkɐ/	/a ˈbɔkɐ/	sf		mouth						boca						bouche					Mund					boca					bocca											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Partes_do_Corpo
orelhas	orelhas	as orelhas	"<img src=""noise baby cover ears sorolls.JPG"">"	/ɐz oˈɾɐʎɐʃ/	/az oˈɾeʎas/	sfp		ears						orejas						oreilles					Ohren					orelles					orecchie											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Cabeça Português::Vocabulario::Pessoas::Corpo_Saude
cotovelo	cotovelo	o cotovelo	"<img src=""_codo_cotovelo_elbow.JPG"">"	/u kutuˈvɛlu/	/u kotoˈvɛlu/	sm		elbow						codo						coude					Ellenbogen					colze					gomito											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo Português::Vocabulario::Pessoas::Corpo::Braço Português::Vocabulario::Pessoas::Corpo_Saude
mão	mão	a mão	"<img src=""hand mano.JPG"">"	/ɐ ˈmɐ̃w̃/	/a ˈmɐ̃w̃/	sf		hand						mano						main					Hand					mà					mano											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
mãos	mãos	as mãos	"<img src=""_maos_manos_hands.JPG"">"	/ɐʒ ˈmɐ̃w̃ʃ/	/aʒ ˈmɐ̃w̃s/	sfp		hands						manos						mains					Hände					mans					mani											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo Português::Vocabulario::Pessoas::Corpo::Braço Português::Vocabulario::Pessoas::Corpo::Maos Português::Vocabulario::Pessoas::Corpo_Saude
peito (corpo)	peito	o peito	"<img src=""_peito.jpg"">"	/u ˈpɐjtu/	/u ˈpejtu/	sm		chest						pecho						poitrine					Brust					pit					petto											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Torso Português::Vocabulario::Pessoas::Corpo_Saude
barriga	barriga	a barriga	"<img src=""_barriga_belly.JPG"">"	/ɐ bɐˈʁiɡɐ/	/a baˈʁiɡɐ/	sf		belly						barriga						ventre					Bauch					panxa					pancia											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Partes_do_Corpo Português::Vocabulario::Pessoas::Corpo::Torso
ancas	ancas	as ancas	"<img src=""hip-cadera-maluc-photo.JPG"">"	/ɐz ˈɐ̃kɐʃ/	/az ˈɐ̃kas/	sfp		hips						caderas						hanches					Hüften					malucs					anche											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Partes_do_Corpo
joelho	joelho	o joelho	"<img src=""knees.jpg"">"	/u ʒuˈɐʎu/	/u ʒoˈeʎu/	sm		knee						rodilla						genou					Knie					genoll					ginocchio											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
tornozelo	tornozelo	o tornozelo	"<img src=""ankle.JPG"">"	/u tuɾnuˈzɛlu/	/u toʁnoˈzɛlu/	sm		ankle						tobillo						cheville					Knöchel					turmell					caviglia											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
pescoço	pescoço	o pescoço	"<img src=""neck.JPG"">"	/u pɨˈʃkɔsu/	/u pesˈkɔsu/	sm		neck						cuello						cou					Verband collare collo																					Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
braço	braço	o braço	"<img src=""forearm.jpg"">"	/u ˈbɾasu/	/u ˈbɾasu/	sm		arm						brazo						bras					Arm					braç					braccio											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Partes_do_Corpo
pé	pé	o pé	"<img src=""_foot_pie-pe.JPG"">"	/u ˈpɛ/	/u ˈpɛ/	sm		foot						pie						pied					Fuß					pe					piede											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Pes Português::Vocabulario::Pessoas::Corpo_Saude
rabo (PT)	rabo	o rabo	"<img src=""Buttocks.gif"">"	/u ˈʁabu/	/u ˈʁabu/	sm		ass ()						culo (PT)						queue					Schwanz					cua					coda											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
nádegas	nádegas	as nádegas	"<img src=""Buttocks.gif"">"	/ɐʒ ˈnadɨɡɐʃ/	/aʒ ˈnadeɡas/	sfp		buttocks						nalgas						fesses					Gesäß					galtes					natiche											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
sobrancelhas	sobrancelhas	as sobrancelhas	"<img src=""_sobrancelhas_cejas.gif"">"	/ɐʃ subɾɐ̃ˈsɐʎɐʃ/	/aʃ sobɾɐ̃ˈseʎas/	sfp		eyebrows						cejas						sourcils					Augenbrauen					cebes					sopracciglia											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Rostro Português::Vocabulario::Pessoas::Corpo_Saude
maçã da cara	maçã da cara	a maçã da cara	"<img src=""_pomulos_maça_da_cara.JPG"">"	/ɐ mɐˈsɐ̃ dɐ ˈkaɾɐ/	/a maˈsɐ̃ dɐ ˈkaɾɐ/	exp		cheek						pómulo																																Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Rostro Português::Vocabulario::Pessoas::Corpo_Saude
calcanhar, calcanhar de Aquiles	calcanhar	o calcanhar	"<img src=""_calcanhar_talon.JPG"">"	/u kaɫkɐˈɲaɾ/, /u kaɫkɐˈɲaɾ dɨ ɐˈkilɨʃ/	/u kawkɐˈɲaʁ/, /u kawkɐˈɲaʁ dʒi aˈkiles/	exp		heel						talón						talon d'Achille					achillesferse					taló d'Aquil·les					tallone di Achille											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Partes_do_Corpo Português::Vocabulario::Pessoas::Corpo::Pes
coixinhas	coixinhas	as coixinhas		/ɐʃ kojˈʃiɲɐʃ/	/aʃ kojˈʃiɲas/	sfp		pads						almohadillas (pies, manos)						coussins					Polster					cushionpads					cuscinetti											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
bochechas	bochechas	as bochechas	"<img src=""_bochechas.JPG"">"	/ɐʒ buˈʃɐʃɐʃ/	/aʒ boˈʃeʃas/	sfp		cheeks						mejillas						joues					Wangen					galtes					guance											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Partes_do_Corpo Português::Vocabulario::Pessoas::Corpo::Rostro
queixo	queixo	o queixo		/u ˈkɐjʃu/	/u ˈkejʃu/	sm		chin						barbilla						menton					Kinn					barbeta					mento											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
lábios	lábios	os lábios	"<img src=""_labios_lips.JPG"">"	/uʒ ˈlabiuʃ/	/uʒ ˈlabius/	smp		lips						labios						lèvres					Lippen					llavis					labbra											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
pálpebras	pálpebras	as pálpebras	"<img src=""_parpados_palbebras.JPG"">"	/ɐʃ ˈpaɫpɨbɾɐʃ/	/aʃ ˈpawpebɾas/	sfp		eyelids						párpados						paupières					Augenlider					parpelles					palpebre											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
garganta	garganta	a garganta	"<img src=""_garganta.JPG"">"	/ɐ ɡɐɾˈɡɐ̃tɐ/	/a ɡaʁˈɡɐ̃tɐ/	sf		throat						garganta						gorge					Kehle					gola					gola											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Cabeça Português::Vocabulario::Pessoas::Corpo_Saude
ouvidos	ouvidos	os ouvidos	"<img src=""hearing.jpg"">"	/uz oˈviduʃ/	/uz oˈvidus/	smp		ears						oídos						oreilles					Ohren					oïdes					orecchie											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Cabeça Português::Vocabulario::Pessoas::Corpo_Saude
ossos	ossos	os ossos	"<img src=""_leg_bones_ossos_huesos.png"">"	/uz ˈɔsuʃ/	/uz ˈɔsus/	smp		bones						huesos						os					Knochen					ossos					ossa											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
músculos	músculos	os músculos	"<img src=""_musculos_muscles.JPG"">"	/uʒ ˈmuʃkuluʃ/	/uʒ ˈmuskulus/	smp		muscles						músculos						muscles					Muskeln					músculs					muscoli											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Iterno Português::Vocabulario::Pessoas::Corpo_Saude
articulações	articulações	as articulações	"<img src=""joints_articulaciones.jpg"">"	/ɐz ɐɾtikulɐˈsõj̃ʃ/	/az aʁtʃikulaˈsõj̃s/	sfp		joints						articulaciones						articulations					Gelenke					articulacions					articolazioni											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Iterno
tendões	tendões	os tendões	"<img src=""tendon.JPG"">"	/uʃ tẽˈdõj̃ʃ/	/uʃ tẽˈdõj̃s/	smp		tendons						tendones						tendons					Sehnen					tendons					tendini											Português::Vocabulario::Pessoas::Corpo Português::Vocabulario::Pessoas::Corpo::Iterno
coração	coração	o coração	"<img src=""_coraçao.JPG"">"	/u kuɾɐˈsɐ̃w̃/	/u koɾaˈsɐ̃w̃/	sm		heart						corazón						cœur					Herz					cor					cuore											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
aparelho reprodutor	aparelho reprodutor	o aparelho reprodutor	"<img src=""_aparelho_reprodutor_reproductory_system.JPG"">"	/u ɐpɐˈɾɐʎu ʁɨpɾuduˈtoɾ/	/u apaˈɾeʎu ʁepɾoduˈtoʁ/	exp		reproductive system						sistema reproductor						système reproducteur					Fortpflanzungssystem					sistema reproductor					sistema riproduttivo											Português::Vocabulario::Pessoas::Corpo::Iterno
estômago	estômago	o estômago	"<img src=""_estomago_2.jpeg"">"	/u ˈʃtomɐɡu/	/u isˈtomaɡu/	smf		stomach						estómago						estomac					Magendarm					estómac					stomaco											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
pés	pés	os pés	"<img src=""_pies_pes_feet.JPG"">"	/uʃ ˈpɛʃ/	/uʃ ˈpɛs/	smp		feet						pies						pieds					Füße					peus					piedi											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo::Pernas Português::Vocabulario::Pessoas::Corpo_Saude
espirrar	espirrar	espirrar	"<img src=""_espirrar.gif"">"	/ʃpiˈʁaɾ/	/ispiˈʁaʁ/	v		to sneeze						estornudar						éternuer					niesen					esternudar					starnutire											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Corpo_Saude::Feridas
assoar-se	assoar-se	assoar-se	"<img src=""_precisar_lenços_tissues.JPG"">"	/ɐsuˈaɾsɨ/	/asoˈaʁsi/	v		to blow one's nose						sonarse						se moucher					sich schnäuzen					sonar-se					soffiarsi il naso											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Corpo_Saude::Tratamento
tem constipado	tem constipado	tem constipado	"<img src=""_resfriados.JPG"">"	/ˈtɐ̃j̃ kõʃtiˈpadu/	/ˈtẽj̃ kõstʃiˈpadu/	exp		has a cold						tiene resfriado						a un rhume					hat eine Erkältung					té un refredat					ha il raffreddore											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
precisas lenços	precisas lenços	precisas lenços	"<img src=""_precisar_lenços_tissues.JPG"">"	/pɾɨˈsizɐʒ ˈlẽsuʃ/	/pɾeˈsizas ˈlẽsus/	exp		you need tissues						necesitas pañuelos						tu as besoin de mouchoirs					du brauchst Taschentücher					necessites mocadors					hai bisogno di fazzoletti											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Corpo_Saude::Tratamento
entorse no tornozelo	entorse no tornozelo	a entorse no tornozelo	"<img src=""_torcedura_esguince_tornozelo_tobillo.JPG"">"	/ɐ ẽˈtɔɾsɨ nu tuɾnuˈzɛlu/	/a ẽˈtɔʁsi nu toʁnoˈzɛlu/	sf		ankle sprain						esguince en el tobillo						entorse de la cheville					Knöchelverstauchung					esquinç de turmell					distorsione alla caviglia											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
torceu um pé	torceu um pé	torceu um pé	"<img src=""_torceu_um_pe.JPG"">"	/tuɾˈsew ˈũ ˈpɛ/	/toʁˈsew ˈũ ˈpɛ/	v		twisted a foot						torció un pie						"s&#x27;est tordu un pied"					hat sich den Fuß verdreht					s'ha torçat un peu					ha storto un piede											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Corpo_Saude::Feridas
muito inchado	muito inchado	muito inchado	"<img src=""_inchado.JPG"">"	/ˈmũjtu ĩˈʃadu/	/ˈmũjtu ĩˈʃadu/	exp		very swollen						muy hinchado						très enflé					sehr geschwollen					molt inflat					molto gonfio											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Corpo_Saude::Feridas
queimarse com água a ferver	queimarse com água a ferver	queimarse com água a ferver	"<img src=""_queimarse_agua_ferver.JPG"">"	/kɐjˈmaɾsɨ ˈkõ ˈaɡwɐ ɐ fɨɾˈveɾ/	/kejˈmaʁsi ˈkõ ˈaɡwɐ a feʁˈveʁ/	exp		burn with boiling water						quemarse con agua hirviendo						se brûler avec de l'eau bouillante					mit kochendem Wasser verbrennen					cremar-se amb aigua bullint					ustionarsi con acqua bollente											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Corpo_Saude::Feridas
queimadura	queimadura	a queimadura		/ɐ kɐjmɐˈduɾɐ/	/a kejmaˈduɾɐ/	sf		burn						quemadura						brûlure					Verbrennung					cremada					ustione											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
vou desinfetar	vou desinfetar	vou desinfetar	"<img src=""_desinfetar_ferida.JPG"">"	/ˈvo dɨzĩfɨˈtaɾ/	/ˈvo dezĩfeˈtaʁ/	exp		I will disinfect						voy a desinfectar						je vais désinfecter					ich werde desinfizieren					desinfectaré					disinfetterò											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Corpo_Saude::Tratamento
colocar um penso	colocar um penso	colocar um penso	"<img src=""_poner_um_penso.JPG"">"	/kuluˈkaɾ ˈũ ˈpẽsu/	/koloˈkaʁ ˈũ ˈpẽsu/	exp		apply a bandage						poner un vendaje						mettre un bandage					einen Verband anlegen					posar un embenat					mettere una benda											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
caiu e partiu o braço	caiu e partiu o braço	caiu e partiu o braço	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	/ˈkajw i pɐɾˈtiw u ˈbɾasu/	/ˈkajw i paʁˈtʃiw u ˈbɾasu/	exp		fell and broke his arm						cayó y se rompió el brazo						il est tombé et s'est cassé le bras					er ist gefallen und hat sich den Arm gebrochen					va caure i s'ha trencat el braç					è caduto e si è rotto il braccio											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
anda com yeso	anda com yeso	anda com yeso	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	/ˈɐ̃dɐ ˈkõ ˈɛzu/	/ˈɐ̃dɐ ˈkõ ˈɛzu/	exp		walk with a cast						anda con yeso						marcher avec un plâtre					mit einem Gips laufen					camina amb guix					cammina con il gesso											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
cai e magoei o joelho	cai e magoei o joelho	cai e magoei o joelho	"<img src=""_lastimar_rodilla_hurt_knee.JPG"">"	/ˈkaj i mɐɡuˈɐj u ʒuˈɐʎu/	/ˈkaj i maɡoˈej u ʒoˈeʎu/	exp		I fell and hurt the knee						caí y me lastimé la rodilla						tomber et se blesser au genou					fallen und sich das Knie verletzen					caure i ferir-se el genoll					cadere e ferire il ginocchio											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude::Feridas
magoar-se	magoar-se	magoar-se	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	/mɐɡuˈaɾsɨ/	/maɡoˈaʁsi/	v		to hurt oneself						"lastimarse (con ""m"")"						se blesser					sich verletzen					ferir-se					ferirsi											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude
está a deitar sangue	está a deitar sangue	está a deitar sangue	"<img src=""_esta_deitar_sangue_sangrando_bleeding.JPG"">"	/ˈʃta ɐ dɐjˈtaɾ ˈsɐ̃ɡɨ/	/isˈta a dejˈtaʁ ˈsɐ̃ɡi/	exp		is bleeding						está sangrando						il saigne					blutet					està sagnant					sta sanguinando											Português::Curso::A1 Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Corpo_Saude::Feridas
